"Country Name","Country Code","Indicator Name","Indicator Code","Time Period","Value","Status",
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","2006","41440528899.1318",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","2007","51375318062.8623",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","2008","60286109218.0449",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","2009","70609901052.3595",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","2010","117021169964.719",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","2011","144395140911.291",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","2012","99253942942.3738",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","2013","85852646622.171",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","2014","93788974889.5789",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","1995","44308795000",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","1996","47736004000",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","1997","41162455000",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","1998","49663590000",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","1999","113901532957.753",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","2000","112481334339.891",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","2001","126758347627.238",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","2002","164170481265.31",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","2003","209839812909.251",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","2004","244993181441.672",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","2005","257027964372.706",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","2006","270417860546.02",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","2007","275311126458.651",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","2008","293733308871.847",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","2009","350105776266.21",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","2010","383779476862.212",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","2011","386209237207.92",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","2012","409453284323.918",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","2013","418186881747.111",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","2014","422773590243.268",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","1995","167352482757.891",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","1996","107286086354.172",""
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","1997","100318001561.905",""
